vi,ch
"Ngã hành Sơn Nam dĩ tam nhật,",我行山南已三日，
Như thằng đại đạo đông tây xuất.,如繩大道東西出。
"Bình xuyên ốc dã vọng bất tận,",平川沃野望不儘，
Mạch lũng thanh thanh tang uất uất.,麥隴青青桑鬱鬱。
"Địa cận Hàm Tần khí tục hào,",地近函秦氣俗豪，
Thu thiên xúc cúc phân bằng tào.,秋千蹴鞠分朋曹。
"Mục túc liên vân mã đề kiện,",苜蓿連云馬蹄健，
Dương liễu giáp đạo xa thanh cao.,楊柳夾道車聲高。
"Cổ lai lịch lịch hưng vong xứ,",古來曆曆興亡處，
Cử mục sơn xuyên thượng như cố.,舉目山川尚如故。
"Tướng quân đàn thượng lãnh vân đê,",將軍壇上冷云低，
Thừa tướng từ tiền xuân nhật mộ.,丞相祠前春日暮。
"Quốc gia tứ kỷ thất Trung nguyên,",國家四紀失中原，
Sư xuất Giang Hoài vị dị thôn.,師出江淮未易吞。
"Hội khan kim cổ tòng thiên hạ,",會看金鼓從天下，
Khước dụng Quan Trung tác bản căn.,卻用關中作本根。
