vi,ch
"Thiên phong vạn phong đồng nhất phong,",千峰萬峰同一峰，
Phong tận tước lập vô mông nhung.,峰盡削立無蒙茸。
"Thiên tùng vạn tùng đồng nhất tùng,",千松萬松同一松，
Can tất trực thượng vô hồi dung.,干悉直上無回容。
"Nhất phong vân thanh nhất phong bạch,",一峰雲青一峰白，
Thanh thượng lung yên bạch ngưng tuyết.,青尚籠煙白凝雪。
"Nhất tùng tiêu hồng nhất tùng mặc,",一松梢紅一松墨，
Mặc dục thành lâm xích nghinh nhật.,墨欲成霖赤迎日。
"Vô phong vô tùng tùng tất kỳ,",無峰無松松必奇，
Vô tùng vô vân vân tất phi.,無松無雲雲必飛。
"Phong thế nam bắc tùng đông tê,",峰勢南北松東西，
Tùng ảnh hướng bối vân cao đê.,松影向背雲高低。
"Hữu thì nhất phong thừa nhất ốc,",有時一峰承一屋，
Ốc hạ nhất tùng nhưng phú cốc.,屋下一松仍覆谷。
"Thiên quang vân quang tứ thời lục,",天光雲光四時綠，
Phong thanh tuyền thanh nhất ngung túc.,風聲泉聲一隅足。
"Ngã nghi Hoàng Hà Hãn Hải địa mạch thông,",我疑黄河瀚海地脈通，
Hà dĩ qua bích thiên lý phi thanh thông?,何以戈壁千里非青蔥。
"Bất nhĩ địa mạch cống nhuận hợp tác Thiên Sơn tùng,",不爾地脈貢潤合作天山松，
Tùng can quái để nhất nhất trực thấu tinh thần cung.,松干怪底一一直透星辰宮。
"Hiếu kỳ cuồng khách hốt chí thử,",好奇狂客忽至此，
Đại tiếu nhất hô vong cửu tử.,大笑一呼忘九死。
"Khán phong tiền hành mã đề sử,",看峰前行馬蹄駛，
Dục đáo thanh tùng tận đầu chỉ.,欲到青松盡頭止。
