vi,ch
"Nhật khứ tây sơn tập trường dạ,",日去西山襲長夜，
Hương Phong chủ nhân trập ngô mã.,香峰主人縶吾馬。
"Thú quân dục quy quy bất đắc,",守君欲歸歸不得，
Thiểu yên minh nguyệt thượng đông xá.,少焉明月上東舍。
"Nguyệt lai tương đối hựu hàm bôi,",月來相對又啣杯，
Khoa đầu khởi hướng ly biên khai.,科頭起向籬邊開。
"Vãng lai thiên cổ tứ đàm luận,",往來千古肆談論，
Ngọc sơn dĩ đồi bất khả bả.,玉山已頹不可把。
"Phủ ngưỡng thiên địa giai mạc tịch,",俯仰天地皆幕席，
Chủ nhân vô tâm khách diệc phả.,主人無心客亦叵。
"Hoàng hoa tận vị tuý ông khai,",黃花盡為醉翁開，
Vạn hộc thanh hương hữu phục tả.,萬斛清香右復左。
"Sứ quân phiêu nhiên thừa mã quy,",使君飄然乘馬歸，
Chủ nhân bất lưu tống chi dã.,主人不留送之也。
"Quy lai minh nguyệt chính đương đầu,",歸來明月正當頭，
Giải y phục hướng thiềm doanh ngoạ.,解衣復向簷楹臥。
"Bất tri thân hoá tác Hương Phong,",不知身化作香峰，
Giác tắc cự cự nhiên ngô dã.,覺則遽遽然吾也。
