vi,ch
"Thiên công hiệu lệnh tái bất xuất,",天公號令再不出，
Thập nhật sầu lâm tính vi nhất.,十日愁霖併為一。
"Quân gia hữu điền thuỷ mạo điền,",君家有田水冒田，
Ngã gia vô điền ưu nhập thất.,我家無田憂入室。
"Bất như Tây châu Dương đạo sĩ,",不如西州楊道士，
Vạn lý tuỳ thân duy lưỡng tất.,萬里隨身惟兩膝。
"Duyên lưu bất ố tố diệc giai,",沿流不惡泝亦佳，
Nhất diệp biển chu nhiệm phong đột.,一葉扁舟任風突。
"Sơn khung mạch khúc đô bất dụng,",山芎麥麴都不用，
Nê hành lộ túc chung vô tật.,泥行露宿終無疾。
"Dạ lai cơ trường như chuyển lôi,",夜來飢腸如轉雷，
Lữ sầu phi tửu bất khả khai.,旅愁非酒不可開。
"Dương sinh tự ngôn thức âm luật,",楊生自言識音律，
Động tiêu nhập thủ thanh thả ai.,洞蕭入手清且哀。
"Bất tu cánh đãi thu tỉnh tháp,",不須更待秋井塌，
Kiến nhân bạch cốt phương hàm bôi.,見人白骨方銜杯。
