vi,ch
"Nga My cao xuất tây cực thiên,",峨眉高出西極天，
La Phù trực dữ Nam minh liên.,羅浮直與南溟連。
"Danh công dịch tư huy thái bút,",名公繹思揮彩筆，
Khu sơn tẩu hải trí nhãn tiền.,驅山走海置眼前。
"Mãn đường không thuý như khả tảo,",滿堂空翠如可掃，
Xích thành hà khí thương ngô yên.,赤城霞氣蒼梧煙。
"Động Đình, Tiêu Tương ý diểu miên,",洞庭瀟湘意渺綿，
Tam giang thất trạch tình hồi duyên.,三江七澤情洄沿。
"Kinh đào hung dũng hướng hà xứ,",驚濤洶湧向何處，
Cô chu nhất khứ mê quy niên.,孤舟一去迷歸年。
"Chinh phàm bất động diệc bất toàn,",征帆不動亦不旋，
Phiêu như tuỳ phong lạc thiên biên.,飄如隨風落天邊。
"Tâm dao mục đoạn hứng nan tận,",心搖目斷興難盡，
Kỷ thời khả đáo Tam sơn điên.,幾時可到三山巔。
"Tây phong tranh vanh phún lưu tuyền,",西峰崢嶸噴流泉，
Hoành thạch túc thuỷ ba sàn viên.,橫石蹙水波潺湲。
"Đông nhai hợp đạp tế khinh vụ,",東崖合沓蔽輕霧，
Thâm lâm tạp thụ không thiên miên.,深林雜樹空芊綿。
"Thử trung minh muội thất trú dạ,",此中冥昧失晝夜，
Ẩn kỷ tịch thính vô minh thiền.,隱幾寂聽無鳴蟬。
"Trường tùng chi hạ liệt vũ khách,",長松之下列羽客，
Đối toạ bất ngữ Nam Xương tiên.,對坐不語南昌仙。
"Nam Xương tiên nhân Triệu phu tử,",南昌仙人趙夫子，
Diệu niên lịch lạc thanh vân sĩ.,妙年歷落青雲士。
"Tụng đình vô sự la chúng tân,",訟庭無事羅眾賓，
Hương nhiên như tại đan thanh lý.,香然如在丹青裏。
Ngũ sắc phấn đồ an túc trân?,五色粉圖安足珍？
Chân tiên khả dĩ toàn ngô thân?,真仙可以全吾身。
"Nhược đãi công thành phất y khứ,",若待功成拂衣去，
Vũ Lăng đào hoa tiếu sát nhân.,武陵桃花笑殺人。
