vi,cn
"Bất sinh hồ khoan nhàn chi dã, nhi thác tích ư động thiên.",不生乎寬閒之野，而托跡於洞天。
"Đồng Lương thuý khí thông Thanh Linh,",銅梁翠氣通青蛉，
Chính sự nhất tỳ ích ngã.,政事一埤益我，
Tuế tuế niên niên nhân bất đồng.,歲歲年年人不同。
"Thiên cao địa nhục nhật nguyệt lưu,",天高地辱日月流，
"Bất đại thanh dĩ sắc,",不大聲以色，
Hoàng tuất ngã hậu.,遑恤我後。
Hải thượng minh nguyệt cộng triều sinh.,海上明月共潮生。
Đô nhân hãi quan như đổ tường.,都人駭觀如堵牆。
Tứ vọng thanh thiên giải nhân muộn.,四望青天解人悶。
"Nãi mệnh Nghê dĩ kích sát hề, Nghê xúc hoè nhi tễ.",乃命麑以擊殺兮，麑觸槐而斃。
"Bất tri hà xứ hoả,",不知何處火，
"Minh công tráng niên trị thì nguy,",明公壯年值時危，
"Anh hùng bản học vạn nhân địch,",英雄本學萬人敵，
Cốt nhục mãn nhãn thân ky cô.,骨肉滿眼身羈孤。
"Đào không củng nhiên văn túc âm,",逃空跫然聞足音，
"Nhị xuyết duẩn ban,",二綴笋班，
"Tự Triệu, Đinh, Lý, Trần chi triệu tạo ngã quốc,",自趙丁李陳之肇造我國，
Cát luỹ oanh chi.,葛藟縈之。
Lập thạch vi biểu kim nhưng tồn.,立石為表今仍存。
Bệnh trung nhất kiến dược nhiên khởi.,病中一見躍然起。
Hoàn dư thụ tử chi xán hề.,還，予授子之粲兮。
"Phong điệp khứ phân phân,",蜂蝶去紛紛，
"Phương niên thuỳ tích khứ như thuỷ,",芳年誰惜去如水，
"Sính lai bất thức bái cô chương,",聘來不識拜姑嫜，
"Thuỵ lai đả miên,",睡來打眠，
Hoan tiếu trùng truy biệt kinh niên.,歡笑重追別經年。
"Giang thượng kim triêu hàn vũ hiết,",江上今朝寒雨歇，
Ngọc thủ khai giam trường thán tức:,玉手開緘長嘆息，
Trĩ tử vô ưu tẩu phong vũ.,稚子無懮走風雨。
"Ngã thừa du bích xa,",我乘油壁車，
"Hồng nhạn nam phi,",鴻雁南飛，
"Hạnh tài thiên thụ, dược nhị biến hồ phương dân,",杏栽千樹，藥餌遍乎方民，
"Khả liên chức nữ tinh,",可憐織女星，
