vi,ch
"Sầm Tham huynh đệ giai hiếu kỳ,",岑參兄弟皆好奇，
Huề ngã viễn lai du Mỹ Bi.,攜我遠來遊渼陂。
"Thiên địa yểm thảm hốt dị sắc,",天地黤慘忽異色，
Ba đào vạn khoảnh đồi lưu ly.,波濤萬頃堆琉璃。
"Lưu ly hãn mạn phiếm chu nhập,",琉璃汗漫泛舟入，
Sự thù hứng cực ưu tư tập.,事殊興極懮思集。
"Đà tác kình thôn bất phục tri,",鼉作鯨吞不復知，
Ác phong bạch lãng hà ta cập.,惡風白浪何嗟及。
"Chủ nhân cẩm phàm tương vi khai,",主人錦帆相為開，
Chu tử hỉ thậm vô phân ai.,舟子喜甚無氛埃。
"Phù ê tán loạn trạo âu phát,",鳧鷖散亂棹謳發，
Ty quản trù thu không thuý lai.,絲管啁啾空翠來。
"Trầm can tục mạn thâm mạc trắc,",沈竿續蔓深莫測，
Lăng diệp hà hoa tĩnh như thức.,菱葉荷花靜如拭。
"Uyển tại trung lưu Bột Hải thanh,",宛在中流渤澥清，
Há quy vô cực chung nam hắc.,下歸無極終南黑。
"Bán pha dĩ nam thuần tẩm sơn,",半陂已南純浸山，
Động ảnh diểu điệu xung dung gian.,動影裊窕冲溶間。
"Thuyền huyền minh kiết vân tế tự,",船舷暝戛雲際寺，
Thuỷ diện nguyệt xuất lam điền quan.,水面月出藍田關。
"Thử thì ly long diệc thổ châu,",此時驪龍亦吐珠，
Phùng Di kích cổ quần long xu.,馮夷擊鼓群龍趨。
"Tương phi, Hán nữ xuất ca vũ,",湘妃漢女出歌舞，
Kim chi thuý kỳ quang hữu vô.,金支翠旗光有無。
"Chỉ xích đãn sầu lôi vũ chí,",咫尺但愁雷雨至，
Thương mang bất hiểu thần linh ý.,蒼茫不曉神靈意。
"Thiếu tráng kỷ thì nại lão hà,",少壯幾時奈老何，
Hướng lai ai lạc hà kỳ đa.,向來哀樂何其多。
