vi,ch
"Liễu lăng, liễu lăng hà sở tự,",繚綾繚綾何所似，
Bất tự la tiêu dữ hoàn ỷ.,不似羅綃與紈綺。
"Ưng tự Thiên Thai sơn thượng nguyệt minh tiền,",應似天台山上月明前，
Tứ thập ngũ xích bộc bố tuyền.,四十五尺瀑布泉。
"Trung hữu văn chương hựu kỳ tuyệt,",中有文章又奇絕，
Địa phô bạch yên hoa thốc tuyết.,地鋪白煙花簇雪。
"Chức giả hà nhân y giả thuỳ,",織者何人衣者誰，
Việt khê hàn nữ Hán cung cơ.,越溪寒女漢宮姬。
"Khứ niên trung sứ tuyên khẩu sắc,",去年中使宣口敕，
Thiên thượng thủ dạng nhân gian chức.,天上取樣人間織。
"Chức vi vân ngoại thu nhạn hành,",織為雲外秋雁行，
Nhiễm tác Giang Nam xuân thuỷ sắc.,染作江南春水色。
"Quảng tài sam tụ trường chế quần,",廣裁衫袖長制裙，
Kim đấu uất ba đao tiễn văn.,金鬥熨波刀翦紋。
"Dị thái kỳ văn tương ẩn ánh,",異彩奇文相隱映，
Chuyển trắc khán hoa hoa bất định.,轉側看花花不定。
"Chiêu Dương vũ nhân ân chính thâm,",昭陽舞人恩正深，
Xuân y nhất đối trực thiên kim.,春衣一對直千金。
"Hãn triêm phấn ô bất tái trước,",汗沾粉污不再著，
Duệ thổ tháp nê vô tích tâm.,曳土蹋泥無惜心。
"Liễu lăng chức thành phí công tích,",繚綾織成費功績，
Mạc tỷ tầm thường tăng dữ bạch.,莫比尋常繒與帛。
"Ty tế sào đa nữ thủ đông,",絲細繰多女手疼，
Trát trát thiên thanh bất doanh xích.,扎扎千聲不盈尺。
"Chiêu Dương điện lý ca vũ nhân,",昭陽殿裏歌舞人，
Nhược kiến chức thì ưng dã tích.,若見織時應也惜。
