vi,ch
Hồn hề! Hồn hề! Hồ bất quy?,魂兮！魂兮！胡不歸，
Đông tây nam bắc vô sở y.,東西南北無所依。
"Thướng thiên há địa giai bất khả,",上天下地皆不可，
"Yên, Dĩnh thành trung lai hà vi?",鄢郢城中來何為。
"Thành quách do thị, nhân dân phi,",城郭猶是人民非，
Trần ai cổn cổn ô nhân y.,塵埃滾滾汙人衣。
"Xuất giả khu xa, nhập cứ toạ,",出者驅車入踞坐，
"Toạ đàm lập nghị giai Cao, Quỳ.",坐談立議皆皋夔。
"Bất lộ trảo nha dữ giác độc,",不露爪牙與角毒，
Giảo tước nhân nhục cam như di!,咬嚼人肉甘如飴。
"Quân bất kiến Hồ Nam sổ bách châu,",君不見湖南數百州，
"Chỉ hữu sấu tích, vô sung phì.",只有瘦瘠無充肥。
Hồn hề! hồn hề! suất thử đạo,魂兮！魂兮！率此道，
Tam Hoàng chi hậu phi kỳ thì.,三皇之後非其時。
"Tảo liễm tinh thần phản thái cực,",早斂精神返太極，
"Thận vật tái phản linh nhân xi,",慎勿再返令人嗤。
Hậu thế nhân nhân giai Thượng Quan,後世人人皆上官，
"Đại địa xứ xứ giai Mịch La,",大地處處皆汨羅。
"Ngư long bất thực, sài hổ thực,",魚龍不食豺虎食，
Hồn hề! hồn hề! nại hồn hà?,魂兮！魂兮！奈魂何。
