vi,ch
"Giang Thành địa chướng phiền thảo mộc,",江城地瘴蕃草木，
Chỉ hữu danh hoa khổ u độc.,只有名花苦幽獨。
"Yên nhiên nhất tiếu trúc ly gian,",嫣然一笑竹籬間，
Đào lý mãn sơn tổng thô tục.,桃李滿山總粗俗。
"Dã tri tạo vật hữu thâm ý,",也知造物有深意，
Cố khiển giai nhân tại không cốc.,故遣佳人在空穀。
"Tự nhiên phú quý xuất thiên tư,",自然富貴出天姿，
Bất đãi kim bàn tiến hoa ốc.,不待金盤薦華屋。
"Châu thần đắc tửu vựng sinh kiểm,",朱唇得酒暈生臉，
Thuý tụ quyển sa hồng ánh nhục.,翠袖卷紗紅映肉。
"Lâm thâm vụ ám hiểu quang trì,",林深霧暗曉光遲，
Nhật noãn phong khinh xuân thuỵ túc.,日暖風輕春睡足。
"Vũ trung hữu lệ diệc thê sảng,",雨中有淚亦凄愴，
Nguyệt hạ vô nhân canh thanh thục.,月下無人更清淑。
"Tiên sinh thực bão vô nhất sự,",先生食飽無一事，
Tán bộ tiêu dao tự môn phúc.,散步逍遙自捫腹。
"Bất vấn nhân gia dữ tăng xả,",不問人家與僧捨，
Trụ trượng xao môn khán tu trúc.,拄杖敲門看修竹。
"Hốt phùng tuyệt diễm chiếu suy hủ,",忽逢絕艷照衰朽，
Thán tức vô ngôn khai bệnh mục.,嘆息無言揩病目。
"Lậu bang hà xứ đắc thử hoa,",陋邦何處得此花，
Vô nãi hảo sự di Tây Thục.,無乃好事移西蜀。
"Thốn căn thiên lý bất dị đáo,",寸根千里不易到，
Hàm tử phi lai định hồng hộc.,銜子飛來定鴻鵠。
"Thiên nhai lưu lạc câu khả niệm,",天涯流落俱可念，
Vị ẩm nhất tôn ca thử khúc.,為飲一樽歌此曲。
"Minh triêu tửu tỉnh hoàn độc lai,",明朝酒醒還獨來，
Tuyết lạc phân phân na nhẫn xúc.,雪落紛紛哪忍觸。
