vi,ch
"Cao Đường mộ đông tuyết tráng tai,",高唐暮冬雪壯哉，
Cựu chướng vô phục tự trần ai.,舊瘴無復似塵埃。
"Nhai trầm cốc một bạch ngai ngai,",崖沉穀沒白皚皚，
Giang thạch khuyết liệt thanh phong tồi.,江石缺裂青楓摧。
"Nam thiên tam tuần khổ vụ khai,",南天三旬苦霧開，
"Xích nhật chiếu diệu tòng tây lai,",赤日照耀從西來，
Lục long hàn cấp quang bùi hồi.,六龍寒急光裴回。
"Chiếu ngã suy nhan hốt lạc địa,",照我衰顏忽落地，
Khẩu tuy ngâm vịnh tâm trung ai.,口雖吟詠心中哀。
"Vị quái cập thì thiếu niên tử,",未怪及時少年子，
Dương my kết nghĩa hoàng kim đài.,揚眉結義黃金臺。
"Kịp hồ ngô sinh hà phiêu linh,",洎乎吾生何飄零，
Chi ly uỷ tuyệt đồng tử hôi.,支離委絕同死灰。
