vi,ch
"Hán kinh sùng phiệt duyệt,",漢京崇閥閱，
Hán đại đa cao huân.,漢代多高勛。
"Cổ đao cẩu đồ giai đắc thế,",鼓刀狗屠皆得勢，
Hà huống Vệ Hoắc thiên gia thân.,何況衛霍天家親。
"Thiên gia chi thân bản vinh quý,",天家之親本榮貴，
Sất sá phong vân chúng nhân uý.,叱咤風雲眾人畏。
"Hỗn Tà thử nhật thượng xưng vương,",渾邪此日尚稱王，
Chiếu khiển lập công hướng biên địa.,詔遣立功向邊地。
"Truy tuỳ bất sổ chấp kim ngô,",追隨不數执金吾，
Tiên thát thường như kỵ đô uý.,鞭撻常如騎都尉。
"Quy lai hiến tiệp cận vương đô,",歸來獻捷覲王都，
Kiếm lý công nhiên điện thượng xu.,劍履公然殿上趨。
"Tính danh dĩ lặc Yên Nhiên thạch,",姓名已勒燕然石，
Phương lược hoàn thành Sung Quốc đồ.,方略還成充國圖。
"Thỉnh đoạt điền viên Vũ An khách,",請奪田園武安客，
Hoành hành triêu thị Hoắc gia nô.,橫行朝市霍家奴。
"Ngọc khí trưng cầu quy để đệ,",玉器征求歸邸第，
Thông hầu tước thưởng cập đồng sồ.,通侯爵賞及童雛。
"Thệ từ chân hứa thiên trường cửu,",誓辭真許天長久，
Vũ lộ ân tư vô nhật vô.,雨露恩私無日無。
"Hoạ phúc tuần hoàn ỷ hoàn phục,",禍福循環倚還伏，
Tòng lai khi khí thường khuynh phúc.,從來欹器常傾覆。
"Tỉnh tuyền lưu dật đán trú minh,",井泉流溢鴠晝鳴，
Mao anh gia kiếm toàn gia khốc.,犛纓加劍全家哭。
"Thiết khoán đan thư phản nội đình,",鐵券丹書返內庭，
Chá lâm thố uyển di tha tộc.,柘林兔菀移他族。
"Báo ân chi tử thúc thao qua,",報恩之子焂操戈，
Châu lý tam thiên khứ hà tốc.,珠履三千去何速。
"Bắc Mang bồi thổ cánh vô tồn,",北邙抔土竟無存，
Vạn sự hào hoa như chuyển chúc.,萬事豪華如轉燭。
"Tiền xa chi phúc hậu xa giới,",前車之覆後車誡，
Hậu xa bất giới chung đương bại.,後車不誡終當敗。
"Đậu Điền kiêu hoành tổng luân vong,",竇田驕橫總淪亡，
Bác Lục công danh không cái đại.,博陸功名空蓋代。
"Quân bất kiến, ba lãng hân thiên khả hạm nguy,",君不見波浪掀天舸艦危，
Sử phàm toàn tại chuyển phàm thì.,使帆全在轉帆時。
"Công thành tảo biện tàng cung ý,",功成早辦藏弓意，
Chỉ hữu phù gia Phạm Lãi tri.,只有浮家范蠡知。
