vi,ch
"Đôi sơn trừu xuất nhất chi long,",堆山抽出一支龍，
Nhất đốn nhất khởi tương tiếp tục.,一頓一起相接續。
"Hoành khai dịch lộ thế tồi ngôi,",橫開驿路势崔嵬，
Lập vọng sơn hình như tượng phục.,立望山形如象伏。
"Đương niên giá hạnh ngẫu đình tham,",當年駕幸偶停驂，
Phụng tích gia danh Phước Tượng nham.,奉錫嘉名福象岩。
"Sơn khê đáo thử hạn Nam Bắc,",山溪到此限南北，
Phú Lộc thất tổng quy bắc tam.,富禄七總歸北三。
"Mã tích băng hồng phục độ hải,",馬蹟崩洪復渡海，
Trùng trùng dinh trại khởi Linh Thái.,重重營寨起靈蔡。
"Thuý Vân sơn thế cực nguy nga,",翠雲山势極巍峩，
Hồi cố Đôi Sơn ngoại triều bái.,囬顧堆山外朝拜。
"Thoát thai căn cốt hạ bình sa,",脫胎根骨下平沙，
Thôn lạc tương vọng thiên vạn gia.,村落相望千萬家。
"Tri chỉ an dương sổ bách lý,",知止安洋数百里，
Kinh thành nhất vọng đại bao la.,京城一望大包羅。
