vi,ch
"Sào Phủ trạo đầu bất khẳng trú,",巢父掉頭不肯住，
Đông tương nhập hải tuỳ yên vụ.,東將入海隨煙霧。
"Thi quyển trường lưu thiên địa gian,",詩卷長流天地間，
Điếu can dục phất san hô thụ.,釣竿欲拂珊瑚樹。
"Thâm sơn, đại trạch long xà viễn,",深山大澤龍蛇遠，
"Xuân hàn, dã âm phong cảnh mộ.",春寒野陰風景暮。
"Bồng Lai Chức Nữ hồi vân xa,",蓬萊織女回雲車，
Chỉ điểm hư vô dẫn chinh lộ.,指點虛無引征路。
"Tự thị quân thân hữu tiên cốt,",自是君身有仙骨，
Thế nhân na đắc tri kỳ cố!,世人那得知其故？
"Tích quân chỉ dục khổ tử lưu,",惜君只欲苦死留，
Phú quý hà như thảo đầu lộ!,富貴何如草頭露？
"Thái hầu tĩnh giả ý hữu dư,",蔡侯靜者意有餘，
Thanh dạ trí tửu lâm tiền trừ.,清夜置酒臨前除。
"Bãi cầm trù trướng nguyệt chiếu tịch,",罷琴惆悵月照席，
Kỷ tuế ký ngã không trung thư?,幾歲寄我空中書？
"Nam tầm Vũ Huyệt kiến Lý Bạch,",南尋禹穴見李白，
Đạo Phủ vấn tấn kim hà như?,道甫問訊今何如？
