vi,ch
"Bành gia nữ nhi thập lục thất,",彭家女兒十六七，
Xúc cúc trường trung xưng đệ nhất.,蹴踘場中稱第一。
"Chỉ kim niên dĩ nhị thập dư,",只今年已二十餘，
Mãn thân cổn lộng vưu tinh cực.,滿身袞弄尤精极。
"Bích ngọc thoa hoành kế oản vân,",碧玉釵橫髻綰雲，
Tiêu y thuý tụ thạch lựu quần.,綃衣翠袖石榴裙。
"Hương trần bất động bạch nhật noãn,",香塵不動白日暖，
Nhất thập lục giải đương trình quân.,一十六解當呈君。
"Chiết toàn tả hữu tật phục hoãn,",折旋左右疾復緩，
Kim liên bộ bộ đa kỳ ngoạn.,金蓮步步多奇玩。
"Đắc phi dao hoàn liên bất khai,",得非瑤環連不開，
Vô nãi loan giao tục nan đoạn.,無乃鸞膠續難斷。
"Lạc hoa lưu thuỷ khứ phục hồi,",落花流水去復回，
Phi yến nghinh phong tụ hoàn tán.,飛燕迎風聚還散。
"Trường trung nhất thời bách xảo xuất,",場中一時百巧出，
Quan giả như sơn tổng kinh thán.,觀者如山總驚嘆。
Liêu hoàn Bố xạ kim hữu vô?,遼丸布射今有無？
Nữ lưu thử kỹ diệc thiểu như.,女流此伎亦少如。
"Khởi độc Công Tôn đại nương vũ kiếm khí,",豈獨公孫大娘舞劍器，
Sử nhân quan chi năng thảo thư.,使人觀之能草書。
