vi,ch
"Thiên hạ giáp mã vị tận tiêu,",天下甲馬未盡銷，
Khởi miễn câu hác thường phiêu phiêu.,豈免溝壑常漂漂。
"Kiếm Nam tuế nguyệt bất khả độ,",劍南歲月不可度，
Biên đầu công khanh nhưng độc kiêu.,邊頭公卿仍獨驕。
"Phí tâm cô tức thị nhất dịch,",費心姑息是一役，
Phì nhục đại tửu đồ tương yêu.,肥肉大酒徒相要。
"Ô hô cổ nhân dĩ phân thổ,",嗚呼古人已糞土，
Độc giác chí sĩ cam ngư tiều.,獨覺志士甘漁樵。
"Huống ngã phiêu chuyển vô định sở,",況我飄轉無定所，
Chung nhật thích thích nhẫn ky lữ.,終日戚戚忍羈旅。
"Thu túc sương khê tố nguyệt cao,",秋宿霜溪素月高，
Hỉ đắc dữ tử trường dạ ngữ.,喜得與子長夜語。
"Đông du tây hoàn lực thực quyện,",東遊西還力實倦，
Tòng thử tương thân cánh hà hứa.,從此將身更何許。
"Tri tử tùng căn trường phục linh,",知子松根長茯苓，
Trì mộ hữu ý lai đồng chử.,遲暮有意來同煮。
