vi,ch
"Thiên đông nhật xuất thiên tây há,",天東日出天西下，
Thư phụng cô phi nữ long quả.,雌鳳孤飛女龍寡。
"Thanh khê bạch thạch bất tương vọng,",青溪白石不相望，
Đường trung viễn thậm Thương Ngô dã.,堂中遠甚蒼梧野。
"Đống bích sương hoa giao ẩn khởi,",凍壁霜華交隱起，
Phương căn trung đoạn hương tâm tử.,芳根中斷香心死。
"Lãng thừa hoạ khả ức thiềm thừ,",浪乘畫舸憶蟾蜍，
Nguyệt Nga vị tất thiền quyên tử.,月娥未必嬋娟子。
"Sở quản Man huyền sầu nhất khái,",楚管蠻弦愁一槩，
Không thành bãi vũ yêu chi tại.,空城罷舞腰支在。
"Đương thì hoan hướng chưởng trung tiêu,",當時歡向掌中銷，
"Đào Diệp, Đào Căn song tỷ muội.",桃葉桃根雙姊妹。
"Phá hoàn nuỵ đoạ lăng triêu hàn,",破鬟倭墮凌朝寒，
Bạch ngọc yến thoa hoàng kim thiền.,白玉燕釵黃金嬋。
"Phong xa vũ mã bất trì khứ,",風車雨馬不持去，
Lạp chúc đề hồng oán thiên thự.,蠟燭啼紅怨天曙。
