vi,ch
Quân bất kiến:,君不見：
"Tần thì Thục thái thú,",秦時蜀太守，
Khắc thạch lập tác tam tê ngưu.,刻石立作三犀牛。
"Tự cổ tuy hữu yểm thắng pháp,",自古雖有厭勝法，
Thiên sinh giang thuỷ hướng đông lưu.,天生江水向東流。
"Thục nhân căng khoa nhất thiên tải,",蜀人矜誇一千載，
Phiếm dật bất cận Trương Nghi lâu.,泛溢不近張儀樓。
"Kim niên Quán Khẩu tổn hộ khẩu,",今年灌口損戶口，
Thử sự hoặc khủng vi thần tu.,此事或恐為神羞。
"Chung tạ đề phòng xuất chúng lực,",終藉堤防出眾力，
Cao ủng mộc thạch đương thanh thu.,高擁木石當清秋。
"Tiên vương tác pháp giai chính đạo,",先王作法皆正道，
Quỉ quái hà đắc tham nhân mưu.,鬼怪何得參人謀。
"Ta nhĩ tam tê bất kinh tế,",嗟爾三犀不經濟，
Khuyết ngoa chỉ dữ trường xuyên thệ.,缺訛只與長川逝。
"Đãn kiến nguyên khí thường điều hoà,",但見元氣常調和，
Tự miễn hồng đào tứ điêu sái.,自免洪濤恣凋瘵。
"An đắc tráng sĩ đề thiên cương,",安得壯士提天綱，
Tái bình thuỷ thổ tê bôn mang.,再平水土犀奔茫。
