vi,ch
"Trượng nhân tuấn mã danh Hồ lưu,",丈人駿馬名胡騮，
Tiền niên tỵ hồ quá Kim Ngưu.,前年避胡過金牛。
"Hồi tiên khước tẩu kiến thiên tử,",回鞭卻走見天子，
Triêu ẩm Hán thuỷ mộ Linh châu.,朝飲漢水暮靈州。
"Tự căng Hồ lưu kỳ tuyệt đại,",自矜胡騮奇絕代，
Thừa xuất thiên nhân vạn nhân ái.,乘出千人萬人愛。
"Nhất văn thuyết tận cấp nan tài,",一聞說盡急難材，
Chuyển ích sầu hướng nô đài bối.,轉益愁向駑駘輩。
"Đầu thượng nhuệ nhĩ phê thu trúc,",頭上銳耳批秋竹，
Cước hạ cao đề tước hàn ngọc.,腳下高蹄削寒玉。
"Thuỷ tri thần long biệt hữu chủng,",始知神龍別有種，
Bất tỷ tục mã không đa nhục.,不比俗馬空多肉。
"Lạc Dương đại đạo thì tái thanh,",洛陽大道時再清，
Luỹ nhật hỉ đắc câu đông hành.,累日喜得俱東行。
"Phụng ức long kỳ vị dị thức,",鳳臆龍鬐未易識，
Trắc thân chú mục trường phong sinh.,側身注目長風生。
