vi,cn
"Ngô hà ái, ái duy san,",吾何愛，愛惟山，
Bất viễn yên hà viễn thế gian.,不遠煙霞遠世間。
"Cử mục hữu thiên vân sắc ngũ,",舉目有天雲色五，
Đài đầu mãn địa thảo hoa nhàn.,擡頭滿地草花閒。
Mai trào hiểu nhật tri xuân noãn,梅嘲曉日知春暖
Bách lập đông phong mậu tuế hàn.,百立東風茂歲寒。
"Lôi vũ bất mê điền hải chí,",雷雨不迷填海志，
Diệp chu ninh đãi phiếm tràng lan.,葉舟寧待泛長瀾。
"Phú gia nhất uyển đăng,",富家一碗燈，
Thái thương nhất lạp túc.,太倉一粒粟。
"Bần gia nhất uyển đăng,",貧家一碗燈，
Phụ tử tương tụ khốc.,父子相聚哭。
Phong lưu thái thủ tri bất tri?,風流太守知不知?
Do hận sinh ca vô diệu khúc.,猶恨笙歌無妙曲。
"Lục triều giai lệ vãn yên phù,",六朝佳麗晚煙浮，
Phách Nguyễn đàn tranh thướng tửu lâu.,擘阮彈箏上酒樓。
"Tiểu phiến hoạ loan thừa vụ khứ,",小扇畫鸞乘霧去，
Khinh phàm đái vũ nhập giang lưu.,輕帆帶雨入江流。
"Sơn trung mộng lãnh y Hoằng Cảnh,",山中夢冷依弘景，
Hồ bạn ca tàn ỷ Mạc Sầu.,湖畔歌殘倚莫愁。
"Ngô điện kim thoa Lương viện cổ,",吳殿金釵梁院鼓，
Dương hoa yến tử cộng du du.,楊花燕子共悠悠。
"Hồng thụ nhất khê lưu thuỷ,",紅樹一溪流水，
Thanh sơn thiên lý tà dương.,青山千里斜陽。
"Dục hoán biển chu quy khứ,",欲喚扁舟歸去，
Thử sinh vị bốc hành tàng.,此生未卜行藏。
"Triêu phát cổ điền điền,",朝發鼓闐闐，
Tây phong lạp hoạ chiên.,西風獵畫旃。
"Cố hương phiêu dĩ viễn,",故鄉飄已遠，
Vãng ý hạo vô biên.,往意浩無邊。
"Cẩm thuỷ tế bất kiến,",錦水細不見，
Man giang thanh khả liên.,蠻江清可憐。
"Bôn đằng quá Phật cước,",奔騰過佛腳，
Khoáng đãng tháo bình xuyên.,曠蕩造平川。
"Dã thị hữu thiền khách,",野市有禪客，
Điếu đài tầm mộ yên.,釣臺尋暮煙。
"Tương kỳ định tiên đáo,",相期定先到，
Cửu lập thuỷ sàn sàn.,久立水潺潺。
Nhân giai dưỡng tử vọng thông minh.,人皆養子望聰明。
Ngã bị thông minh ngộ nhất sinh.,我被聰明誤一生。
"Duy nguyện hài nhi ngu thả lỗ,",惟愿孩兒愚且魯，
Vô tai vô nạn đáo công khanh.,無災無難到公卿。
"Trường niên hà sự bất bi thu,",長年何事不悲秋，
Kim nhật thiên nhai sầu phục sầu.,今日天涯愁復愁。
"Cố quốc lão hoè không tịch tịch,",故國老槐空寂寂，
Bán thiên quy nhạn tự du du.,半天歸雁自悠悠。
"Cố tri Dữu Tín đa thanh lệ,",故知庾信多清淚，
Hà sự Đào Tiềm diệc bạch đầu.,何事陶潛亦白頭。
"Tiền nhật gia nhân đới thu diệp,",前日家人帶楸葉，
Cầu thân cường kiện cánh hà cầu.,求身強健更何求。
"Giang ngạn mai hoa chính bạch,",江岸梅花正白，
Thuyền đầu tế vũ tà phi.,船頭細雨斜飛。
"Hành khách tam danh bắc khứ,",行客三名北去，
Tướng quân nhất trạo nam quy.,將軍一棹南歸。
"Bất nại hà, bất nại hà,",不奈何，不奈何，
Nhất trường tam đoản đại dao ngoa.,一長三短大謠訛。
"Đương thời bất thị Giang Tây lão,",當時不是江西老，
Nhất khẩu hoành thôn khởi bích ba.,一口橫吞起碧波。
