vi,ch
Tích hữu giai nhân Công Tôn thị,昔有佳人公孫氏，
Nhất vũ kiếm khí động tứ phương.,一舞劍器動四方。
"Quan giả như sơn sắc trở táng,",觀者如山色沮喪，
Thiên địa vi chi cửu đê ngang.,天地為之久低昂。
"Quắc như Nghệ xạ cửu nhật lạc,",霍如羿射九日落，
Kiểu như quần đế tham long tường.,矯如群帝驂龍翔。
"Lai như lôi đình thu chấn nộ,",來如雷霆收震怒，
Bãi như giang hải ngưng thanh quang.,罷如江海凝清光。
"Giáng thần châu tụ lưỡng tịch mịch,",絳脣珠袖兩寂寞，
Vãn hữu đệ tử truyền phân phương.,晚有弟子傳芬芳。
"Lâm Dĩnh mĩ nhân tại Bạch Đế,",臨穎美人在白帝，
Diệu vũ thử khúc thần dương dương.,妙舞此曲神揚揚。
"Dữ dư vấn đáp ký hữu dĩ,",與餘問答既有以，
Cảm thì phủ sự tăng uyển thương.,感時撫事增惋傷。
"Tiên đế thị nữ bát thiên nhân,",先帝侍女八千人，
Công Tôn kiếm khí sơ đệ nhất.,公孫劍器初第一。
"Ngũ thập niên gian tự phản chưởng,",五十年間似返掌，
Phong trần hồng động hôn vương thất.,風塵鴻洞昏王室。
"Lê viên tử đệ tán như yên,",梨園子弟散如煙，
Nữ nhạc dư tư ánh hàn nhật.,女樂餘姿映寒日。
"Kim Túc đôi tiền mộc dĩ củng,",金粟堆前木已拱，
Cù Đường thạch thành thảo tiêu sắt.,瞿塘石城草蕭瑟。
"Đại diên cấp quản khúc phục chung,",玳筵急管曲復終，
Lạc cực ai lai nguyệt đông xuất.,樂极哀來月東出。
"Lão phu bất tri kỳ sở vãng,",老夫不知其所往，
Túc kiển hoang sơn chuyển sầu tật.,足茧荒山轉愁疾。
