vi,ch
"Yên Đài bát thiên dư lý lộ,",燕臺八千餘里路，
Doanh phiên ngọc bạch tuân vương độ.,瀛藩玉帛遵王度。
"Hoàng hoa thịnh tuyển thuộc nho lưu,",皇花盛選屬儒流，
Thô chuyết tự tàm thao giản cố.,麤拙自慚叨簡顧。
"Chính điện xuân thâm phụng bệ từ,",政殿春深奉陛辭，
Tuyên truyền sứ bộ linh ôn dụ.,宣傳使部聆溫諭。
"Chỉ xích uy nhan khúc tứ tuân,",咫尺威顏曲賜詢，
Hàn mặc thừa triêm hỉ thả cụ.,翰墨承霑喜且懼。
"Tinh tiết hàng hàng uý giản thư,",旌節行行畏簡書，
Long Biên thủ tiện ngu ban vũ.,龍邊取便娛斑舞。
"Tinh thiều quyên cát độ trùng quan,",星韶蠲吉度重關，
Đại địa sơn hà sơ dẫn bộ.,大地山河初引步。
"Lịch lịch giang trình hựu lục trình,",歷歷江程又陸程，
Lao nhân phong thử kiêm sương lộ.,勞人風暑兼霜露。
"Hương quốc sầu lai đối tửu lao,",鄉國愁來對酒醪，
Vân sơn hứng đáo thiêm tân cú.,雲山興到添新句。
"Hoa Nguyên thù ứng chước thành quy,",華原酬應酌成規，
Thẩn thị sơ dung hữu mị bổ.,矧是疏慵有靡補。
"Lưu quang thuấn tức hạ tồ thu,",流光瞬息夏徂秋，
Kính lý khán lai thành bạch thủ.,鏡裏看來成白首。
"Dương tiên nhất lộ đạt Yên Đài,",揚鞭一路達燕臺，
Thượng quốc phồn hoa hạnh thân đổ.,上國繁花幸親賭。
"Cấm uyển tuỳ ban bái miện lưu,",禁苑隨班拜冕旒，
Ngọc lâu thị yến linh Thiều hộ.,玉樓侍宴聆韶護。
"Tầm thường hàn mặc hạ thần bao,",尋常翰墨荷宸褒，
Thứ đệ trân kỳ long sủng số.,次第珍奇隆寵數。
"Tối hỉ thừa ân tảo tứ bình,",最喜承恩蚤賜軿，
Am trình nhân lạc lăng yên vụ.,諳程駰駱凌煙霧。
"Hạnh bằng ấm tí bảo an cường,",幸憑蔭庇保安強，
Gián bả thôi xao cung hiểu mộ.,間把推敲供曉暮。
"Khuất chỉ lai xuân nhập Ngọc Môn,",屈指來春入玉門，
"Tản Lĩnh, Lô Giang mịch ngô thổ.",傘嶺瀘江覓吾土。
"Thân vi hoan ngộ thuật tư du,",親圍歡晤述斯遊，
Sắc tiếu đình tiền ca yến tụ.,色笑庭前歌讌聚。
"Trùng chỉnh văn trâm cận ngọc kinh,",重整文簪覲玉京，
Phục mệnh khuyết đình trữ luyến mộ.,復命闕庭抒戀慕。
"Thừa minh Tuyên thất nhĩ xu thương,",承明宣室邇趨蹌，
Tử cấm hương yên huề mãn tụ.,紫禁香煙攜滿袖。
