vi,ch
"Đối tửu đương ca,",對酒當歌，
Nhân sinh kỷ hà:,人生幾何：
"Thí như triêu lộ,",譬如朝露，
Khứ nhật khổ đa.,去日苦多。
"Khái đương dĩ khảng,",慨當以慷，
Ưu tư nan vong.,憂思難忘。
Hà dĩ giải ưu:,何以解憂：
Duy hữu Đỗ Khang.,惟有杜康。
"Thanh thanh tử khâm,",青青子衿，
Du du ngã tâm.,悠悠我心。
"Đãn vị quân cố,",但為君故，
Trầm ngâm chí kim.,沉吟至今。
"U u lộc minh,",呦呦鹿鳴，
Thực dã chi bình.,食野之苹。
"Ngã hữu gia tân,",我有嘉賓，
Cổ sắt xuy sinh.,鼓瑟吹笙。
"Hạo hạo như nguyệt,",皎皎如月，
Hà thời khả chuyết?,何時可輟？
"Ưu tòng trung lai,",憂從中來，
Bất khả đoạn tuyệt.,不可斷絕。
"Việt mạch độ thiên,",越陌度阡，
Uổng dụng tương tồn.,枉用相存。
"Khế khoát đàm yến,",契闊談宴，
Tâm niệm cựu ân.,心念舊恩。
"Nguyệt minh tinh hy,",月明星稀，
"Ô thước nam phi,",烏鵲南飛，
"Nhiễu thụ tam tạp,",繞樹三匝，
Vô chi khả y.,無枝可依。
"Sơn bất yếm cao,",山不厭高，
Thuỷ bất yếm thâm.,水不厭深。
"Chu Công thổ bộ,",周公吐哺，
Thiên hạ quy tâm.,天下歸心。
