vi,ch
"Thu phong huất hấp xuy nam quốc,",秋風欻吸吹南國，
Thiên địa thảm thảm vô nhan sắc.,天地慘慘無顏色。
"Động Đình dương ba Giang Hán hồi,",洞庭揚波江漢回，
Hổ Nha đồng trụ giai khuynh trắc.,虎牙銅柱皆傾側。
"Vu Giáp âm sầm sóc mạc khí,",巫峽陰岑朔漠氣，
Phong loan yểu điệu khê cốc hắc.,峰巒窈窕溪谷黑。
"Đỗ quyên bất lai viên dứu hàn,",杜鵑不來猿狖寒，
Sơn quỉ u ưu tuyết sương bức.,山鬼幽憂雪霜逼。
"Sở lão trường ta ức viêm chướng,",楚老長嗟憶炎瘴，
Tam xích giác cung lưỡng hộc lực.,三尺角弓兩斛力。
"Bích lập thạch thành hoành tái khởi,",壁立石城橫塞起，
Kim thố tinh can mãn vân trực.,金錯旌竿滿雲直。
"Ngư Dương đột kỵ lạp thanh khâu,",漁陽突騎獵青丘，
Khuyển Nhung toả giáp văn đan cực.,犬戎鎖甲聞丹極。
Bát hoang thập niên phòng đạo tặc.,八荒十年防盜賊，
"Chinh thú tru cầu quả thê khốc,",征戍誅求寡妻哭，
Viễn khách trung tiêu lệ triêm ức.,遠客中宵淚沾臆。
