vi,ch
"Chu Tây Bá Xương,",周西伯昌，
Hoài thử thánh đức.,懷此聖德。
"Tam phân thiên hạ,",三分天下，
Nhi hữu kỳ nhị.,而有其二。
"Tu phụng cống hiến,",脩奉貢獻，
Thần tiết bất long.,臣節不隆。
"Sùng Hầu sàm chi,",崇侯讒之，
Thị dĩ câu hệ.,是以拘繫。
"Hậu kiến xá nguyên,",後見赦原，
"Tứ chi phủ việt,",賜之斧鉞，
Đắc sử chinh phạt.,得使征伐。
"Vi Trọng Ni sở xưng,",為仲尼所稱，
"Đạt cập đức hạnh,",達及德行，
"Do phụng sự Ân,",猶奉事殷，
Luận tự kỳ mỹ.,論敍其美。
"Tề Hoàn chi công,",齊桓之功，
Vi bá chi thủ.,為霸之首。
"Cửu hợp chư hầu,",九合諸侯，
Nhất khuông thiên hạ.,一匡天下。
"Nhất khuông thiên hạ,",一匡天下，
Bất dĩ binh xa.,不以兵車。
"Chính nhi bất quyệt,",正而不譎，
Kỳ đức truyền xưng.,其德傳稱。
"Khổng Tử sở thán,",孔子所歎，
"Tịnh xưng Di Ngô,",並稱夷吾，
Dân thụ kỳ ân.,民受其恩。
"Tứ dữ miếu tộ,",賜與廟胙，
Mệnh vô hạ bái.,命無下拜。
"Tiểu Bạch bất cảm nhĩ,",小白不敢爾，
Thiên uy tại nhan chỉ xích.,天威在顏咫尺。
"Tấn Văn diệc bá,",晉文亦霸，
Cung phụng thiên vương.,躬奉天王。
"Thụ tứ khuê toản,",受賜珪瓚，
"Cự sưởng đồng cung,",秬鬯彤弓，
"Lô cung thỉ thiên,",盧弓矢千，
Hổ bôn tam bách nhân.,虎賁三百人。
"Uy phục chư hầu,",威服諸侯，
Sư chi sở tôn.,師之所尊。
"Bát phương văn chi,",八方聞之，
Danh á Tề Hoàn.,名亞齊桓。
"Hà Dương chi hội,",河陽之會，
"Trá xưng Chu vương,",詐稱周王，
Thị kỳ danh phân ba.,是其名紛葩。
