vi,ch
"Sơn thạch lạc xác hành kính vi,",山石犖確行徑微，
Hoàng hôn đáo tự biển bức phi.,黃昏到寺蝙蝠飛。
"Thăng đường toạ giai tân vũ túc,",升堂坐階新雨足，
Ba tiêu diệp đại chi tử phì.,芭蕉葉大支子肥。
"Tăng ngôn cổ bích phật hoạ hảo,",僧言古壁佛畫好，
Dĩ hoả lai chiếu sở kiến hy.,以火來照所見稀。
"Phô sàng phất tịch trí canh phạn,",鋪床拂席置羹飯，
Sơ lệ diệc túc bão ngã cơ.,疏糲亦足飽我饑。
"Dạ thâm tĩnh ngoạ bách trùng tuyệt,",夜深靜臥百蟲絕，
Thanh nguyệt xuất lĩnh quang nhập phi.,清月出嶺光入扉。
"Thiên minh độc khứ vô đạo lộ,",天明獨去無道路，
Xuất nhập cao hạ cùng yên phi.,出入高下窮煙霏。
"Sơn hồng giản bích phân lạn mạn,",山紅澗碧紛爛漫，
Thì kiến tùng lịch giai thập vi.,時見松櫪皆十圍。
"Đương lưu xích túc tháp giản thạch,",當流赤足蹋澗石，
Thuỷ thanh kích kích phong xuy y.,水聲激激風吹衣。
"Nhân sinh như thử tự khả lạc,",人生如此自可樂，
Khởi tất cục thúc vi nhân ky.,豈必局束為人鞿。
"Ta tai ngô đảng nhị tam tử,",嗟哉吾黨二三子，
An đắc chí lão bất cánh quy.,安得至老不更歸。
