vi,ch
"Cổ thì Đỗ Vũ xưng Vọng Đế,",古時杜宇稱望帝，
Hồn tác đỗ quyên hà vi tế.,魂作杜鵑何微細。
"Khiêu chi thoán diệp thụ mộc trung,",跳枝竄葉樹木中，
Thưởng dương miết liệt thư tuỳ hùng.,搶佯瞥捩雌隨雄。
"Mao y thảm hắc mạo tiều tuỵ,",毛衣慘黑貌憔悴，
Chúng điểu an khẳng tương tôn sùng.,眾鳥安肯相尊崇。
"Huy hình bất cảm thê hoa ốc,",隳形不敢棲華屋，
Đoản cách duy nguyện sào thâm tùng.,短翮唯願巢深叢。
"Xuyên bì trác hủ tuy dục ngốc,",穿皮啄朽觜欲禿，
Khổ cơ thuỷ đắc thực nhất trùng.,苦饑始得食一蟲。
"Thuỳ ngôn dưỡng sồ bất tự bộ,",誰言養雛不自哺，
Thử ngữ diệc túc vi ngu mông.,此語亦足為愚蒙。
"Thanh âm yết yết như hữu vị,",聲音咽咽如有謂，
Hào đề lược dữ anh nhi đồng.,號啼略與嬰兒同。
"Khẩu cán thuỳ huyết chuyển bách xúc,",口幹垂血轉迫促，
Tự dục thượng tố ư thương khung.,似欲上訴於蒼穹。
"Thục nhân văn chi giai khởi lập,",蜀人聞之皆起立，
Chí kim hiệu học hiệu di phong.,至今斅學效遺風，
Nãi tri biến hoá bất khả cùng.,乃知變化不可窮。
"Khởi tri tích nhật cư thâm cung,",豈知昔日居深宮，
Tần tường tả hữu như hoa hồng.,嬪嬙左右如花紅。
