vi,ch
"Ngã sở tư hề tại Thái Sơn,",我所思兮在太山，
Dục vãng tòng chi Lương Phủ gian.,欲往從之梁父艱。
Trắc thân đông vọng thế triêm hàn.,側身東望涕沾翰。
"Mỹ nhân tặng ngã kim thác đao,",美人贈我金錯刀，
Hà dĩ báo chi anh quỳnh dao.,何以報之英瓊瑤。
"Lộ viễn mạc trí y thông dao,",路遠莫致倚通遙，
Hà vị hoài ưu tâm phiền lao?,何為懷懮心煩勞？
"Ngã sở tư hề tại Quế Lâm,",我所思兮在桂林，
Dục vãng tòng chi Tương thuỷ thâm.,欲往從之湘水深。
Trắc thân nam vọng thế triêm khâm.,側身南望涕沾襟。
"Mỹ nhân tặng ngã kim lang can,",美人贈我金琅玕，
Hà dĩ báo chi song ngọc bàn.,何以報之雙玉盤。
"Lộ viễn mạc trí y điều trướng,",路遠莫致倚調悵，
Hà vị hoài ưu tâm phiền thương?,何為懷懮心煩傷？
"Ngã sở tư hề tại Hán Dương,",我所思兮在漢陽，
Dục vãng tòng chi Lũng phản trường.,欲往從之隴阪長。
Trắc thân tây vọng thế triêm thường.,側身西望涕沾裳。
"Mỹ nhân tặng ngã điêu xiêm du,",美人贈我貂襜榆，
Hà dĩ báo chi minh nguyệt châu.,何以報之明月珠。
"Lộ viễn mạc trí y trì trù,",路遠莫致倚踟躊，
Hà vị hoài ưu tâm phiền tiêm?,何為懷懮心煩纖？
"Ngã sở tư hề tại Nhạn Môn,",我所思兮在鴈門，
Dục vãng tòng chi tuyết phân phân.,欲往從之雪紛紛。
Trắc thân bắc vọng thế triêm cân.,側身北望涕沾巾。
"Mỹ nhân tặng ngã cẩm tú đoạn,",美人贈我錦繡段，
Hà dĩ báo chi thanh ngọc án.,何以報之青玉案。
"Lộ viễn mạc trí y tăng thán,",路遠莫致倚增嘆，
Hà vị hoài ưu tâm phiền uyển?,何為懷懮心煩惋？
