vi,ch
"Lạc Dương thành đông đào lý hoa,",洛陽城東桃李花，
Phi lai phi khứ lạc thuỳ gia?,飛來飛去落誰家？
"Lạc Dương nữ nhi hảo nhan sắc,",洛陽女兒好顏色，
Hành phùng lạc hoa trường thán tức.,行逢落花長歎息。
"Kim niên hoa lạc nhan sắc cải,",今年花落顏色改，
Minh niên hoa khai phục thuỳ tại.,明年花開復誰在。
"Dĩ kiến tùng bách tồi vi tân,",已見松柏摧為薪，
Cánh văn tang điền biến thành hải.,更聞桑田變成海。
"Cổ nhân vô phục Lạc thành đông,",古人無復洛城東，
Kim nhân hoàn đối lạc hoa phong.,今人還對落花風。
"Niên niên tuế tuế hoa tương tự,",年年歲歲花相似，
Tuế tuế niên niên nhân bất đồng.,歲歲年年人不同。
"Ký ngôn toàn thịnh hồng nhan tử,",寄言全盛紅顏子，
Ưng liên bán tử bạch đầu ông.,應憐半死白頭翁。
"Thử ông bạch đầu chân khả liên,",此翁白頭真可憐，
Y tích hồng nhan mỹ thiếu niên.,伊昔紅顏美少年。
"Công tử vương tôn phương thụ hạ,",公子王孫芳樹下，
Thanh ca diệu vũ lạc hoa tiền.,清歌妙舞落花前。
"Quang lộc trì đài khai cẩm tú,",光祿池臺開錦繡，
Tướng quân lâu các hoạ thần tiên.,將軍樓閣畫神仙。
"Nhất triêu ngoạ bệnh vô tương thức,",一朝臥病無相識，
Tam xuân hành lạc tại thuỳ biên.,三春行樂在誰邊。
"Uyển chuyển nga mi năng kỷ thì,",宛轉蛾眉能幾時，
Tu du hạc phát loạn như ti.,須臾鶴發亂如絲。
"Đãn khán cổ lai ca vũ địa,",但看古來歌舞地，
Duy hữu hoàng hôn điểu tước phi.,惟有黃昏鳥雀飛。
