vi,ch
"Tây Hồ xuân thuỷ bích như thiên,",西湖春水碧如天，
Tây Hồ xuân cảnh khả nhân liên.,西湖春景可人憐。
"Miểu miểu xuân phong vọng vô tế,",渺渺春風望無際，
Sổ thanh nhân ngữ cách xuân yên.,數聲人語隔春煙。
"Xuân yên mạc mạc mê xuân thụ,",春煙漠漠迷春樹，
Xuân thụ thanh thanh ấm tiền độ.,春樹青青蔭前渡。
"Lâm hồ nhân gia biệt dạng kiều,",臨湖人家別樣嬌，
Phù dung kỷ đoá hồ biên lộ.,芙蓉幾朵湖邊路。
"Biên lộ ba ảnh dạng sơ liêm,",邊路波影樣疏簾，
Nhất vọng thi tình hoạ ý kiêm.,一望詩情畫意兼。
"Hữu vị du ngư khiên lục tảo,",有味遊魚牽綠藻，
Vô trần xuân thuỷ triển minh liêm.,無塵春水展明奩。
"Xuân thuỷ vô ba tịnh như luyện,",春水無波淨如練，
Xuân phong tống sảng lương như phiến.,春風送爽涼如扇。
"Sơ hôn xuân nguyệt khúc như cung,",初昏春月曲如弓，
Khả tích xuân quang mang như tiễn.,可惜春光忙如箭。
"Khả tích xuân quang ám lý thôi,",可惜春光暗裏催，
Ly cung biệt quán dĩ thành khôi.,離宮別館已成灰。
"Do tự đương thời hồ thuỷ sắc,",猶似當時湖水色，
Tiền nhân di tích hậu nhân ai.,前人遺跡後人哀。
"Hậu nhân bất tất đa bi động,",後人不必多悲慟，
Đương tiền thả thính xuân cầm lộng.,當前且聽春禽哢。
"Cập thời hành lạc ưng hy du,",及時行樂應嬉遊，
Vật ngâm xử thế như đại mộng.,勿吟處世如大夢。
"Xử thế tâm trung bất tất ky,",處世心中不必機，
Phùng xuân tu thưởng mạc tương vi.,逢春須賞莫將違。
"Lai thời nam mạch hoa nghênh nhập,",來時南陌花迎入，
Ngâm bãi Tây Hồ nguyệt tống quy.,吟罷西湖月送歸。
